m = 5, n = 5
529
m = 5, n = 5
dp[34]:O = 2, N = 2 (2 >= 5 : 0, 2 >= 5 : 0)
dp[35]:O = 2, N = 2 (2 >= 5 : 0, 2 >= 5 : 0)
dp[36]:O = 2, N = 2 (2 >= 5 : 0, 2 >= 5 : 0)
dp[37]:O = 2, N = 2 (2 >= 5 : 0, 2 >= 5 : 0)
dp[38]:O = 2, N = 2 (2 >= 5 : 0, 2 >= 5 : 0)
dp[39]:O = 2, N = 2 (2 >= 5 : 0, 2 >= 5 : 0)
dp[40]:O = 2, N = 3 (2 >= 5 : 0, 3 >= 5 : 0)
dp[41]:O = 2, N = 3 (2 >= 5 : 0, 3 >= 5 : 0)
dp[42]:O = 2, N = 3 (2 >= 5 : 0, 3 >= 5 : 0)
dp[43]:O = 2, N = 3 (2 >= 5 : 0, 3 >= 5 : 0)
dp[44]:O = 2, N = 3 (2 >= 5 : 0, 3 >= 5 : 0)
dp[45]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[46]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[47]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[48]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[49]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[50]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[51]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[52]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[53]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[54]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[55]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[56]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[57]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[58]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[59]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[60]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[61]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[62]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[63]:O = 3, N = 3 (3 >= 5 : 0, 3 >= 5 : 0)
dp[64]:O = 4, N = 3 (4 >= 5 : 0, 3 >= 5 : 0)
dp[65]:O = 4, N = 3 (4 >= 5 : 0, 3 >= 5 : 0)
dp[66]:O = 4, N = 3 (4 >= 5 : 0, 3 >= 5 : 0)
dp[67]:O = 4, N = 3 (4 >= 5 : 0, 3 >= 5 : 0)
dp[68]:O = 4, N = 3 (4 >= 5 : 0, 3 >= 5 : 0)
dp[69]:O = 4, N = 3 (4 >= 5 : 0, 3 >= 5 : 0)
dp[70]:O = 4, N = 3 (4 >= 5 : 0, 3 >= 5 : 0)
dp[71]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[72]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[73]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[74]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[75]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[76]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[77]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[78]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[79]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[80]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[81]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[82]:O = 4, N = 4 (4 >= 5 : 0, 4 >= 5 : 0)
dp[83]:O = 4, N = 5 (4 >= 5 : 0, 5 >= 5 : 1)
dp[84]:O = 4, N = 5 (4 >= 5 : 0, 5 >= 5 : 1)
85
